name_listed,name_vivo,type_uri,class_uri
School of BioMedical Engineeri,Biomedical Engineering,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
School of Social Work,Social Work,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
School of Technology BTECH,McMaster-Mohawk Bachelor of Technology,,
School of the Arts,School of the Arts,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Science Assoc Dean Academic,,,
Science Central Admin,,,
Science Interdisciplinary Prog,Interdisciplinary ScienceåÊ,,
Social Science Central Adminis,Social Science Central Administration,,
Sociology,Sociology,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Strategic Management,Strategic Management,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Surgery,Surgery,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
The Gilbrea Chair in Aging and,,,
Women's Studies,Gender Studies and Feminist ResearchåÊ,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
